p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.9003513696268206e-6,1.7844639222874195,0.297,0.082,0.042527963300878616,16,TCAF1
1.9278551585644835e-6,1.3807685860483916,0.297,0.081,0.043143470593514574,16,ACTL6A
1.937168565106702e-6,1.396893625555475,0.27,0.07,0.04335189531852288,16,CENPB
1.9460306271190436e-6,0.49247652524755703,0.568,0.209,0.043550219404297076,16,PSMB8
1.975338970178731e-6,0.7765393854042354,0.73,0.379,0.044206110813629816,16,CLTA
1.9835434234140685e-6,0.5668047605775806,0.838,0.441,0.04438971827258344,16,CNN3
1.9918307594540465e-6,0.9668073873680155,0.351,0.103,0.04457518056582211,16,PRPF38A
2.024994972565138e-6,0.8979942145692865,0.432,0.146,0.04531736249103522,16,CMC2
2.0371188885470506e-6,0.35713836904443225,0.595,0.234,0.045588683606794446,16,ARPC4
2.0458579616018407e-6,0.6320105567607777,0.378,0.115,0.045784255322687595,16,ACBD6
2.0469271993162304e-6,0.6783713500276967,0.622,0.253,0.04580818379349792,16,TCEA1
2.058920085605124e-6,0.8604132733889456,0.351,0.103,0.04607657259575707,16,CYHR1
2.069807184054191e-6,0.7342207370749019,0.486,0.167,0.046320214971948735,16,HSD17B12
2.0935421660054356e-6,1.4561578830734754,0.351,0.107,0.04685138013303564,16,SAE1
2.114568009250952e-6,0.6581140817813264,0.514,0.186,0.04732191747902706,16,UPF3A
2.1276154553446827e-6,1.3425995222341371,0.27,0.07,0.04761390627515866,16,MIF4GD
2.1397168641472548e-6,0.8467397607287127,0.378,0.115,0.04788472370275142,16,TSTA3
2.1437670794683756e-6,0.39612868211842256,0.432,0.14,0.047975363471422776,16,DR1
2.1603828111865706e-6,1.2670341518040367,0.27,0.068,0.04834720693154426,16,DMAP1
2.200953241559743e-6,1.0875822083790305,0.432,0.15,0.049255132592865486,16,RPL7L1
2.211781739848331e-6,0.786219505972673,0.73,0.315,0.0494974635560658,16,TTC3
2.2192365103130536e-6,1.0670128152523062,0.27,0.068,0.04966429386429583,16,MON2
2.229766884527377e-6,0.7496680685793263,0.784,0.382,0.04989995310883817,16,PLP2
2.3178543814219273e-6,0.7454883839824115,0.568,0.225,0.05187126320184131,16,NDUFS8
2.3416385875599198e-6,0.6463695197864276,0.838,0.427,0.05240352995100345,16,ATP5MC2
2.3547206983494176e-6,0.5975312365145795,0.973,0.855,0.052696294508361614,16,MT-ND1
2.405043356599963e-6,0.7621046818899615,0.676,0.301,0.05382246527735057,16,MRPL33
2.4072058386891534e-6,0.9960554433311806,0.324,0.093,0.05387085946402456,16,LCMT1
2.4836124157153643e-6,0.6248717768406811,0.351,0.104,0.05558076225129414,16,VEZT
2.4860993366913253e-6,0.795466834979541,0.541,0.2,0.05563641705581517,16,COX17
2.50162248772102e-6,0.9867968702271903,0.351,0.107,0.05598380965270871,16,MALSU1
