module,gene_symbol
neutrophil_degranulation,FOLR3
neutrophil_degranulation,FPR1
neutrophil_degranulation,FPR2
neutrophil_degranulation,FRK
neutrophil_degranulation,FRMPD3
neutrophil_degranulation,FTH1
neutrophil_degranulation,FTL
neutrophil_degranulation,FUCA1
neutrophil_degranulation,FUCA2
neutrophil_degranulation,GAA
neutrophil_degranulation,GALNS
neutrophil_degranulation,GCA
neutrophil_degranulation,GDI2
neutrophil_degranulation,GGH
neutrophil_degranulation,GHDC
neutrophil_degranulation,GLA
neutrophil_degranulation,GLB1
neutrophil_degranulation,GLIPR1
neutrophil_degranulation,GM2A
neutrophil_degranulation,GMFG
neutrophil_degranulation,GNS
neutrophil_degranulation,GOLGA7
neutrophil_degranulation,GPI
neutrophil_degranulation,GPR84
neutrophil_degranulation,GRN
neutrophil_degranulation,GSDMD
neutrophil_degranulation,GSN
neutrophil_degranulation,GSTP1
neutrophil_degranulation,GUSB
neutrophil_degranulation,GYG1
neutrophil_degranulation,HBB
neutrophil_degranulation,HEBP2
neutrophil_degranulation,HEXB
neutrophil_degranulation,HGSNAT
neutrophil_degranulation,HK3
neutrophil_degranulation,HLA-B
neutrophil_degranulation,HLA-C
neutrophil_degranulation,HMGB1
neutrophil_degranulation,HMOX2
neutrophil_degranulation,HP
neutrophil_degranulation,HPSE
neutrophil_degranulation,HRNR
neutrophil_degranulation,HSP90AA1
neutrophil_degranulation,HSP90AB1
neutrophil_degranulation,HSPA1A
neutrophil_degranulation,HSPA1B
neutrophil_degranulation,HSPA6
neutrophil_degranulation,HSPA8
neutrophil_degranulation,HUWE1
neutrophil_degranulation,HVCN1
neutrophil_degranulation,IDH1
neutrophil_degranulation,IGF2R
neutrophil_degranulation,ILF2
neutrophil_degranulation,IMPDH1
neutrophil_degranulation,IMPDH2
neutrophil_degranulation,IQGAP1
neutrophil_degranulation,IQGAP2
neutrophil_degranulation,IRAG2
neutrophil_degranulation,IST1
neutrophil_degranulation,ITGAL
neutrophil_degranulation,ITGAM
neutrophil_degranulation,ITGAV
neutrophil_degranulation,ITGAX
neutrophil_degranulation,ITGB2
neutrophil_degranulation,JUP
neutrophil_degranulation,KCMF1
neutrophil_degranulation,KCNAB2
neutrophil_degranulation,KPNB1
neutrophil_degranulation,KRT1
neutrophil_degranulation,LAIR1
neutrophil_degranulation,LAMP1
neutrophil_degranulation,LAMP2
neutrophil_degranulation,LAMTOR1
neutrophil_degranulation,LAMTOR2
neutrophil_degranulation,LAMTOR3
neutrophil_degranulation,LCN2
neutrophil_degranulation,LGALS3
neutrophil_degranulation,LILRA3
neutrophil_degranulation,LILRB2
neutrophil_degranulation,LILRB3
neutrophil_degranulation,LPCAT1
neutrophil_degranulation,LRG1
neutrophil_degranulation,LRRC7
neutrophil_degranulation,LTA4H
neutrophil_degranulation,LTF
neutrophil_degranulation,LYZ
neutrophil_degranulation,MAGT1
neutrophil_degranulation,MAN2B1
neutrophil_degranulation,MANBA
neutrophil_degranulation,MAPK1
neutrophil_degranulation,MAPK14
neutrophil_degranulation,MCEMP1
neutrophil_degranulation,MGAM
neutrophil_degranulation,MGST1
neutrophil_degranulation,MIF
neutrophil_degranulation,MLEC
neutrophil_degranulation,MME
neutrophil_degranulation,MMP25
neutrophil_degranulation,MMP8
neutrophil_degranulation,MMP9
neutrophil_degranulation,MNDA
neutrophil_degranulation,MOSPD2
neutrophil_degranulation,MPO
neutrophil_degranulation,MS4A3
neutrophil_degranulation,MVP
neutrophil_degranulation,NAPRT
neutrophil_degranulation,NBEAL2
neutrophil_degranulation,NCKAP1L
neutrophil_degranulation,NCSTN
neutrophil_degranulation,NDUFC2
neutrophil_degranulation,NEU1
neutrophil_degranulation,NFAM1
neutrophil_degranulation,NFASC
neutrophil_degranulation,NFKB1
neutrophil_degranulation,NHLRC3
neutrophil_degranulation,NIT2
neutrophil_degranulation,NME2
neutrophil_degranulation,NPC2
neutrophil_degranulation,NRAS
neutrophil_degranulation,OLFM4
neutrophil_degranulation,OLR1
neutrophil_degranulation,ORM1
neutrophil_degranulation,ORM2
neutrophil_degranulation,ORMDL3
neutrophil_degranulation,OSCAR
neutrophil_degranulation,OSTF1
neutrophil_degranulation,P2RX1
neutrophil_degranulation,PA2G4
neutrophil_degranulation,PADI2
neutrophil_degranulation,PAFAH1B2
neutrophil_degranulation,PDAP1
neutrophil_degranulation,PDXK
neutrophil_degranulation,PECAM1
neutrophil_degranulation,PFKL
neutrophil_degranulation,PGAM1
neutrophil_degranulation,PGLYRP1
neutrophil_degranulation,PGM1
neutrophil_degranulation,PGM2
neutrophil_degranulation,PGRMC1
neutrophil_degranulation,PIGR
neutrophil_degranulation,PKM
neutrophil_degranulation,PKP1
neutrophil_degranulation,PLAC8
neutrophil_degranulation,PLAU
neutrophil_degranulation,PLAUR
neutrophil_degranulation,PLD1
neutrophil_degranulation,PLEKHO2
neutrophil_degranulation,PNP
neutrophil_degranulation,PPBP
