gs_name,contrast,Direction_stage_only,Direction_nonE_restricted,PValue_stage_only,PValue_nonE_restricted,FDR_stage_only,FDR_nonE_restricted,NGenes_stage_only,NGenes_nonE_restricted,stable_FDR05
REACTOME_EXPRESSION_OF_NOTCH2NL_GENES,early_wound_vs_normal_skin,Down,Down,0.13988434371341127,0.10585123871534463,0.3831705271911325,0.3291598340963974,4,4,FALSE
REACTOME_CO_INHIBITION_BY_BTLA,early_wound_vs_normal_skin,Up,Up,0.14065110419350718,0.15549231245256015,0.38469751414831277,0.3991548467706782,5,5,FALSE
REACTOME_LTC4_CYSLTR_MEDIATED_IL4_PRODUCTION,early_wound_vs_normal_skin,Up,Up,0.14113394377482166,0.16549766115930778,0.3850506895459861,0.41385673634123493,6,6,FALSE
REACTOME_SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES,early_wound_vs_normal_skin,Up,Up,0.1415089374302986,0.15397225442407264,0.3850506895459861,0.3984516585673959,41,41,FALSE
REACTOME_CELL_CYCLE,early_wound_vs_normal_skin,Up,Up,0.14165728503792188,0.15183506612338002,0.3850506895459861,0.3964858110340003,637,637,FALSE
REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE,early_wound_vs_normal_skin,Up,Up,0.14176190495237478,0.15223575189862243,0.3850506895459861,0.3964858110340003,22,22,FALSE
REACTOME_DEGRADATION_OF_DVL,early_wound_vs_normal_skin,Up,Up,0.14187866404852179,0.1383784636817805,0.3850506895459861,0.38074792851364153,44,44,FALSE
REACTOME_NADE_MODULATES_DEATH_SIGNALLING,early_wound_vs_normal_skin,Up,Up,0.14203719668780118,0.1486058449622622,0.3850506895459861,0.39243899862160625,6,6,FALSE
REACTOME_GLYCOGEN_SYNTHESIS,early_wound_vs_normal_skin,Up,Up,0.1429699964123075,0.1316333814014737,0.38700862062712993,0.37050866005499034,14,14,FALSE
REACTOME_RHOC_GTPASE_CYCLE,early_wound_vs_normal_skin,Up,Up,0.14323575602988367,0.1228775294214197,0.3870768961567202,0.35510833188139845,73,73,FALSE
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS,early_wound_vs_normal_skin,Up,Up,0.14360671644940837,0.1353875761627389,0.3870768961567202,0.3770338863441122,23,23,FALSE
REACTOME_ERYTHROPOIETIN_ACTIVATES_RAS,early_wound_vs_normal_skin,Up,Up,0.143799426865263,0.1351581855011482,0.3870768961567202,0.3770338863441122,14,14,FALSE
